,Loja,Nome,Preco,Link
30,Mercado Livre,Placa De Vídeo Afox Amd Radeon Rx 550 4gb Gddr5 128 Bits,556.0,https://www.mercadolivre.com.br/placa-de-video-afox-amd-radeon-rx-550-4gb-gddr5-128-bits/p/MLB18470582#polycard_client=search-nordic&searchVariation=MLB18470582&wid=MLB4026948475&position=37&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
31,Mercado Livre,Placa De Vídeo Revenger 4gb Ddr5 128 Bits Alta Definição,565.0,https://www.mercadolivre.com.br/placa-de-video-revenger-4gb-ddr5-128-bits-alta-definico/p/MLB40586105#polycard_client=search-nordic&searchVariation=MLB40586105&wid=MLB3891009687&position=22&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
32,Mercado Livre,Placa De Vídeo Gaming Nvidia Geforce Gt730 4gb Ddr3 Hdmi Vga,275.0,https://www.mercadolivre.com.br/placa-de-video-gaming-nvidia-geforce-gt730-4gb-ddr3-hdmi-vga/p/MLB39476621#polycard_client=search-nordic&searchVariation=MLB39476621&wid=MLB5379545788&position=24&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
33,Mercado Livre,Placa De Vídeo Nvidia Ddr3 2gb Gt610 Lp Vx Pro,198.0,https://www.mercadolivre.com.br/placa-de-video-nvidia-ddr3-2gb-gt610-lp-vx-pro/p/MLB40639237#polycard_client=search-nordic&searchVariation=MLB40639237&wid=MLB5211554684&position=16&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
34,Mercado Livre,Placa De Vídeo Pcyes Geforce Gt 1030 2gb Ddr5 Hdmi/dvi,568.0,https://www.mercadolivre.com.br/placa-de-video-pcyes-geforce-gt-1030-2gb-ddr5-hdmidvi/p/MLB22337596#polycard_client=search-nordic&searchVariation=MLB22337596&wid=MLB4050006071&position=26&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
35,Mercado Livre,Placa De Vídeo Radeon Gamer Amd Rx550 Gddr5 4g Dvi Hdmi Dp,475.0,https://www.mercadolivre.com.br/placa-de-video-radeon-gamer-amd-rx550-gddr5-4g-dvi-hdmi-dp/p/MLB35424461#polycard_client=search-nordic&searchVariation=MLB35424461&wid=MLB5247501526&position=18&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
36,Mercado Livre,Placa De Vídeo Nvidia Gamer Geforce Gt 740 2gb Hdmi Ddr5,335.0,https://www.mercadolivre.com.br/placa-de-video-nvidia-gamer-geforce-gt-740-2gb-hdmi-ddr5/p/MLB20966121#polycard_client=search-nordic&searchVariation=MLB20966121&wid=MLB5217951898&position=15&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
37,Mercado Livre,Placa de vídeo Revenger GTX 55OTi 4Gb 128 Bit,368.0,https://www.mercadolivre.com.br/placa-de-video-revenger-gtx-55oti-4gb-128-bit/p/MLB38482005#polycard_client=search-nordic&searchVariation=MLB38482005&wid=MLB5209679700&position=25&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
38,Mercado Livre,Placa De Vídeo Pcyes Radeon Rx 570 8gb Gddr5,916.0,https://www.mercadolivre.com.br/placa-de-video-pcyes-radeon-rx-570-8gb-gddr5/p/MLB46996067#polycard_client=search-nordic&searchVariation=MLB46996067&wid=MLB4015379649&position=17&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
39,Mercado Livre,Placa Vídeo Gt740 Geforce Gddr5 4g Clock 5000mhz 3d Vision,373.0,https://www.mercadolivre.com.br/placa-video-gt740-geforce-gddr5-4g-clock-5000mhz-3d-vision/p/MLB44976297#polycard_client=search-nordic&searchVariation=MLB44976297&wid=MLB5360929438&position=45&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
40,Mercado Livre,Placa De Vídeo Pcyes Geforce Rtx 3050 6gb Gddr6,1.727,https://www.mercadolivre.com.br/placa-de-video-pcyes-geforce-rtx-3050-6gb-gddr6/p/MLB46690622#polycard_client=search-nordic&searchVariation=MLB46690622&wid=MLB5351377280&position=28&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
41,Mercado Livre,Placa de vídeo RTX 3060 12GB GALAX,3.09,https://www.mercadolivre.com.br/placa-de-video-rtx-3060-12gb-galax/p/MLB17716910#polycard_client=search-nordic&searchVariation=MLB17716910&wid=MLB3925280037&position=33&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
42,Mercado Livre,Placa De Vídeo Zotac Rtx 4060 Twin Edga Geforce Oc 8gb Gddr6,2.909,https://www.mercadolivre.com.br/placa-de-video-zotac-rtx-4060-twin-edga-geforce-oc-8gb-gddr6/p/MLB36548918#polycard_client=search-nordic&searchVariation=MLB36548918&wid=MLB4918125580&position=27&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
43,Mercado Livre,Placa De Vídeo Nvidia Ge Force Gt610 1g Ddr3 Hdmi Vga Dvi,138.0,https://www.mercadolivre.com.br/placa-de-video-nvidia-ge-force-gt610-1g-ddr3-hdmi-vga-dvi/p/MLB34178500#polycard_client=search-nordic&searchVariation=MLB34178500&wid=MLB3963949609&position=40&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
44,Mercado Livre,Placa De Vídeo Vxpro Nvidia Geforce Gt 610 2gb Ddr3 64bit,211.0,https://www.mercadolivre.com.br/placa-de-video-vxpro-nvidia-geforce-gt-610-2gb-ddr3-64bit/p/MLB45970166#polycard_client=search-nordic&searchVariation=MLB45970166&wid=MLB5286161314&position=35&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
45,Mercado Livre,Placa de Video XFX Radeon RX 6600 Speedster SWFT 210 8GB RX-66XL8LFDQ,1.928,https://www.mercadolivre.com.br/placa-de-video-xfx-radeon-rx-6600-speedster-swft-210-8gb-rx-66xl8lfdq/p/MLB18614977#polycard_client=search-nordic&searchVariation=MLB18614977&wid=MLB5312896940&position=31&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
46,Mercado Livre,Placa De Vídeo Galax Geforce Rtx 3050 1-click Oc Ex 2x V2 6g,2.274,https://www.mercadolivre.com.br/placa-de-video-galax-geforce-rtx-3050-1-click-oc-ex-2x-v2-6g/p/MLB47573306#polycard_client=search-nordic&searchVariation=MLB47573306&backend_model=search-backend&wid=MLB5345129004&position=34&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
47,Mercado Livre,Nvidia Revenger GT 210 Placa De Vídeo Nvidia 1gb 64bit Ddr3,127.0,https://www.mercadolivre.com.br/nvidia-revenger-gt-210-placa-de-video-nvidia-1gb-64bit-ddr3/p/MLB26912068#polycard_client=search-nordic&searchVariation=MLB26912068&wid=MLB5308795326&position=30&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
48,Mercado Livre,Placa De Vídeo Gamer Amd Radeon Rx580 Gddr5 8g Hdmi Dp,999.0,https://www.mercadolivre.com.br/placa-de-video-gamer-amd-radeon-rx580-gddr5-8g-hdmi-dp/p/MLB36700033#polycard_client=search-nordic&searchVariation=MLB36700033&wid=MLB3804602157&position=32&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
49,Mercado Livre,Placa De Vídeo Vxpro Nvidia Geforce Gt 730 4gb Ddr3 128bit,262.0,https://www.mercadolivre.com.br/placa-de-video-vxpro-nvidia-geforce-gt-730-4gb-ddr3-128bit/p/MLB41765714#polycard_client=search-nordic&searchVariation=MLB41765714&wid=MLB3968999677&position=42&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
50,Mercado Livre,Placa Vídeo Geforce Gt 740 Ddr 5 4g Clock 5000mhz 3d,389.0,https://produto.mercadolivre.com.br/MLB-5358961188-placa-video-geforce-gt-740-ddr-5-4g-clock-5000mhz-3d-_JM#polycard_client=search-nordic&position=52&search_layout=grid&type=item&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&wid=MLB5358961188&sid=search
51,Mercado Livre,Placa Video 8gb Rtx4060 Asus Dual-rtx4060-o8g-evo,2.599,https://www.mercadolivre.com.br/placa-video-8gb-rtx4060-asus-dual-rtx4060-o8g-evo/p/MLB36474468#polycard_client=search-nordic&searchVariation=MLB36474468&wid=MLB3943381123&position=36&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
52,Mercado Livre,Placa De Vídeo Gigabyte Oc Sff Rtx5060ti 16g Gdrr7 128 Bits,4.602,https://produto.mercadolivre.com.br/MLB-4054934831-placa-de-video-gigabyte-oc-sff-rtx5060ti-16g-gdrr7-128-bits-_JM#polycard_client=search-nordic&position=53&search_layout=grid&type=item&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&wid=MLB4054934831&sid=search
53,Mercado Livre,Placa De Vídeo Nvidia Ge Force Gt610 2gb Ddr3 Hdmi Vga Dvi,171.0,https://www.mercadolivre.com.br/placa-de-video-nvidia-ge-force-gt610-2gb-ddr3-hdmi-vga-dvi/p/MLB34379871#polycard_client=search-nordic&searchVariation=MLB34379871&wid=MLB5285079714&position=39&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
54,Mercado Livre,Geforce Gtx 960 4gb: Gráficos Incríveis Para Pc Gamer,689.0,https://produto.mercadolivre.com.br/MLB-5133409738-geforce-gtx-960-4gb-graficos-incriveis-para-pc-gamer-_JM#polycard_client=search-nordic&position=54&search_layout=grid&type=item&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&wid=MLB5133409738&sid=search
55,Mercado Livre,Placa De Video Delta Gtx 550 Ti 2gb 128 Bits Gddr5,289.0,https://www.mercadolivre.com.br/placa-de-video-delta-gtx-550-ti-2gb-128-bits-gddr5/p/MLB43484011#polycard_client=search-nordic&searchVariation=MLB43484011&wid=MLB5212190234&position=38&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
56,Mercado Livre,Placa De Vídeo Vx Pro Geforce G210 1gb Ddr3 Dvi/vga/hdmi,137.0,https://www.mercadolivre.com.br/placa-de-video-vx-pro-geforce-g210-1gb-ddr3-dvivgahdmi/p/MLB45740091#polycard_client=search-nordic&searchVariation=MLB45740091&wid=MLB4029635927&position=46&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
57,Mercado Livre,Placa de vídeo Pny Nvidia Rtx A400 4gb Gdr6 Mini Dp 1.4,1.679,https://www.mercadolivre.com.br/placa-de-video-pny-nvidia-rtx-a400-4gb-gdr6-mini-dp-14/p/MLB39130223#polycard_client=search-nordic&searchVariation=MLB39130223&wid=MLB4983465480&position=41&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
58,Mercado Livre,Placa De Vídeo Nvidia Gddr3 200 Series Gt 210 Revenger 1gb,149.0,https://produto.mercadolivre.com.br/MLB-3721569804-placa-de-video-nvidia-gddr3-200-series-gt-210-revenger-1gb-_JM#polycard_client=search-nordic&position=55&search_layout=grid&type=item&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&wid=MLB3721569804&sid=search
59,Mercado Livre,Placa De Video Geforce Nvidia Gt730 4gb Ddr3 128bit Gt 730,329.0,https://produto.mercadolivre.com.br/MLB-4052472497-placa-de-video-geforce-nvidia-gt730-4gb-ddr3-128bit-gt-730-_JM#polycard_client=search-nordic&position=56&search_layout=grid&type=item&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&wid=MLB4052472497&sid=search
60,Mercado Livre,Placa De Vídeo Brx Nvidia Gt 1030 2gb Ddr4 Hdmi Vga,649.0,https://produto.mercadolivre.com.br/MLB-4007778455-placa-de-video-brx-nvidia-gt-1030-2gb-ddr4-hdmi-vga-_JM#polycard_client=search-nordic&position=57&search_layout=grid&type=item&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&wid=MLB4007778455&sid=search
61,Mercado Livre,Placa de vídeo AMD Pcyes Radeon R5 200 Series R5 230 PA230R502D3LW 2GB,259.0,https://www.mercadolivre.com.br/placa-de-video-amd-pcyes-radeon-r5-200-series-r5-230-pa230r502d3lw-2gb/p/MLB15846398#polycard_client=search-nordic&searchVariation=MLB15846398&wid=MLB1676123753&position=43&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
62,Mercado Livre,Placa gráfica Amd Radeon Rx 6600 Xfx Core 8 Gb Gpu,2.475,https://www.mercadolivre.com.br/placa-grafica-amd-radeon-rx-6600-xfx-core-8-gb-gpu/p/MLB20601173#polycard_client=search-nordic&searchVariation=MLB20601173&wid=MLB4020314771&position=44&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
63,Mercado Livre,Placa De Video Zotac Geforce Rtx 5080 Solid Oc 16gb Gddr7,10.783,https://www.mercadolivre.com.br/placa-de-video-zotac-geforce-rtx-5080-solid-oc-16gb-gddr7/p/MLB46157906#polycard_client=search-nordic&searchVariation=MLB46157906&wid=MLB5337928386&position=47&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
64,Mercado Livre,Placa De Vídeo Nvidia Ddr3 1gb Gt610 Lp Vx Pro,139.0,https://www.mercadolivre.com.br/placa-de-video-nvidia-ddr3-1gb-gt610-lp-vx-pro/p/MLB40612158#polycard_client=search-nordic&searchVariation=MLB40612158&wid=MLB3868959501&position=48&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
65,Mercado Livre,Placa gráfica AMD Radeon XFX RX 7600 de 8 GB,2.247,https://www.mercadolivre.com.br/placa-grafica-amd-radeon-xfx-rx-7600-de-8-gb/p/MLB28570288#polycard_client=search-nordic&searchVariation=MLB28570288&wid=MLB5346726926&position=49&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
66,Mercado Livre,Placa Vídeo Gamer 4gb Ddr5 Gtx550ti Pci Express 2.0 Hdmi Vga,319.0,https://www.mercadolivre.com.br/placa-video-gamer-4gb-ddr5-gtx550ti-pci-express-20-hdmi-vga/p/MLB47900964#polycard_client=search-nordic&searchVariation=MLB47900964&wid=MLB4053795167&position=50&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
67,Mercado Livre,Placa De Vídeo Gigabyte Rtx 5070 Windforce 12gb Gddr7,5.8,https://www.mercadolivre.com.br/placa-de-video-gigabyte-rtx-5070-windforce-12gb-gddr7/p/MLB47781685#polycard_client=search-nordic&searchVariation=MLB47781685&wid=MLB5370048902&position=51&search_layout=grid&type=product&tracking_id=7c671de0-0168-4011-af9e-ae0a3fb60266&sid=search
